ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Masks
cjvnf5ealftjc0984n8uka3fs,cjvnehagg0jhr0ctngric4y47,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F8900d548-6a90-a012-2314-1402ffb393a1-C1P1H1.jpg,"{""Leaf"":[{""state"":""healthy"",""geometry"":[{""x"":145,""y"":551},{""x"":230,""y"":537},{""x"":374,""y"":468},{""x"":522,""y"":429},{""x"":710,""y"":411},{""x"":889,""y"":393},{""x"":1027,""y"":395},{""x"":1188,""y"":411},{""x"":1321,""y"":416},{""x"":1422,""y"":448},{""x"":1571,""y"":535},{""x"":1684,""y"":609},{""x"":1744,""y"":641},{""x"":1764,""y"":664},{""x"":1725,""y"":691},{""x"":1716,""y"":737},{""x"":1578,""y"":705},{""x"":1537,""y"":719},{""x"":1475,""y"":765},{""x"":1431,""y"":785},{""x"":1316,""y"":783},{""x"":1257,""y"":799},{""x"":1197,""y"":820},{""x"":1082,""y"":811},{""x"":1038,""y"":811},{""x"":951,""y"":824},{""x"":806,""y"":808},{""x"":770,""y"":790},{""x"":714,""y"":781},{""x"":639,""y"":765},{""x"":535,""y"":677},{""x"":324,""y"":613},{""x"":218,""y"":586}]}],""classification"":""healthy""}",jorgeklz@gmail.com,Coffe Leaves,1557815538000,1557815538000,69.605,C1P1H1.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf5ealftjc0984n8uka3fs,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY1ZWFsZnRqYzA5ODRuOHVrYTNmcyIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.NrirUn5vuGhO0izbGP-35ow_97nWeRgWc8alYtFVyIA""}"
cjvnf878wfzzd0838svwmv6gu,cjvnehagg0jhv0ctne7uze0m7,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F24a51d91-3220-414f-479b-4182739c011c-C1P2E2.jpg,"{""Leaf"":[{""state"":""unhealthy"",""geometry"":[{""x"":105,""y"":526},{""x"":213,""y"":547},{""x"":357,""y"":496},{""x"":518,""y"":446},{""x"":718,""y"":416},{""x"":911,""y"":420},{""x"":1088,""y"":420},{""x"":1185,""y"":446},{""x"":1323,""y"":471},{""x"":1396,""y"":531},{""x"":1468,""y"":586},{""x"":1539,""y"":618},{""x"":1523,""y"":632},{""x"":1488,""y"":632},{""x"":1442,""y"":643},{""x"":1415,""y"":680},{""x"":1383,""y"":719},{""x"":1341,""y"":767},{""x"":1277,""y"":804},{""x"":1180,""y"":822},{""x"":1125,""y"":864},{""x"":1026,""y"":875},{""x"":895,""y"":859},{""x"":794,""y"":845},{""x"":672,""y"":815},{""x"":610,""y"":802},{""x"":491,""y"":749},{""x"":362,""y"":684},{""x"":289,""y"":625},{""x"":208,""y"":574},{""x"":91,""y"":556}]}],""classification"":""rust_level_2""}",jorgeklz@gmail.com,Coffe Leaves,1557815669000,1557839140000,7.104,C1P2E2.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf878wfzzd0838svwmv6gu,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4Nzh3Znp6ZDA4MzhzdndtdjZndSIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.OciKVZ1T7xc1eZoxXRlGX_3Mi2fAVuM5lNrVmv_boq8""}"
cjvnf89dsfy900795gjew8qoj,cjvnehagg0jhz0ctnfqe98wpe,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F2b0c3fb0-23cf-d5ab-3e8f-b2ff6dad1120-C1P2H1.jpg,"{""Leaf"":[{""state"":""healthy"",""geometry"":[{""x"":15,""y"":505},{""x"":114,""y"":489},{""x"":390,""y"":391},{""x"":516,""y"":358},{""x"":705,""y"":308},{""x"":886,""y"":278},{""x"":1001,""y"":280},{""x"":1150,""y"":326},{""x"":1304,""y"":379},{""x"":1383,""y"":441},{""x"":1408,""y"":482},{""x"":1481,""y"":533},{""x"":1548,""y"":521},{""x"":1484,""y"":563},{""x"":1429,""y"":606},{""x"":1422,""y"":650},{""x"":1387,""y"":684},{""x"":1281,""y"":744},{""x"":1162,""y"":795},{""x"":1107,""y"":795},{""x"":1033,""y"":813},{""x"":960,""y"":804},{""x"":891,""y"":813},{""x"":794,""y"":808},{""x"":723,""y"":774},{""x"":562,""y"":746},{""x"":426,""y"":684},{""x"":351,""y"":657},{""x"":224,""y"":609}]}],""classification"":""healthy""}",jorgeklz@gmail.com,Coffe Leaves,1557815672000,1557839194000,2.367,C1P2H1.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf89dsfy900795gjew8qoj,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4OWRzZnk5MDA3OTVnamV3OHFvaiIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.ZJYYoU024udTPrv-wLVVUOJ3ZBvBIk0DtgpUzfMBr6I""}"
cjvnf8b7fg82s0a70ijp6fz1o,cjvnehagg0ji30ctn5qt44wi8,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F50bb1bbd-724f-ff82-7d6f-d1ff166637b7-C1P3E1.jpg,"{""Leaf"":[{""state"":""healthy"",""geometry"":[{""x"":3,""y"":681},{""x"":155,""y"":641},{""x"":256,""y"":594},{""x"":409,""y"":423},{""x"":514,""y"":340},{""x"":677,""y"":246},{""x"":832,""y"":207},{""x"":984,""y"":218},{""x"":1081,""y"":235},{""x"":1182,""y"":282},{""x"":1274,""y"":298},{""x"":1342,""y"":335},{""x"":1469,""y"":380},{""x"":1541,""y"":450},{""x"":1626,""y"":451},{""x"":1708,""y"":481},{""x"":1729,""y"":502},{""x"":1664,""y"":512},{""x"":1619,""y"":544},{""x"":1590,""y"":582},{""x"":1541,""y"":620},{""x"":1442,""y"":648},{""x"":1396,""y"":683},{""x"":1325,""y"":685},{""x"":1281,""y"":718},{""x"":1252,""y"":720},{""x"":1182,""y"":723},{""x"":1153,""y"":699},{""x"":1109,""y"":695},{""x"":1081,""y"":714},{""x"":1045,""y"":714},{""x"":972,""y"":671},{""x"":945,""y"":671},{""x"":909,""y"":671},{""x"":869,""y"":647},{""x"":808,""y"":631},{""x"":780,""y"":617},{""x"":717,""y"":605},{""x"":623,""y"":586},{""x"":564,""y"":584},{""x"":501,""y"":584},{""x"":387,""y"":605},{""x"":312,""y"":615},{""x"":270,""y"":622},{""x"":185,""y"":666},{""x"":127,""y"":681},{""x"":45,""y"":702},{""x"":5,""y"":711}]}],""classification"":""healthy""}",jorgeklz@gmail.com,Coffe Leaves,1557815674000,1557839262000,1.91,C1P3E1.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8b7fg82s0a70ijp6fz1o,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4YjdmZzgyczBhNzBpanA2ZnoxbyIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.Vd3RXORJhThSPRXZ0UdVm-gmz5MEPebr5JN77hJvjt4""}"
cjvnf8dd6fz1s0828a8zwknn1,cjvnehagg0ji70ctnbhqcfl87,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2Fa820a210-6845-4a51-ddac-75bd7770f376-C1P3E2.jpg,"{""Leaf"":[{""state"":""unhealthy"",""geometry"":[{""x"":334,""y"":437},{""x"":435,""y"":471},{""x"":505,""y"":446},{""x"":602,""y"":432},{""x"":745,""y"":342},{""x"":893,""y"":303},{""x"":1034,""y"":286},{""x"":1165,""y"":305},{""x"":1262,""y"":314},{""x"":1393,""y"":335},{""x"":1476,""y"":373},{""x"":1544,""y"":425},{""x"":1604,""y"":500},{""x"":1668,""y"":535},{""x"":1720,""y"":549},{""x"":1682,""y"":589},{""x"":1642,""y"":608},{""x"":1598,""y"":577},{""x"":1572,""y"":572},{""x"":1562,""y"":615},{""x"":1548,""y"":634},{""x"":1544,""y"":674},{""x"":1445,""y"":744},{""x"":1349,""y"":788},{""x"":1221,""y"":809},{""x"":1079,""y"":800},{""x"":831,""y"":758},{""x"":681,""y"":687},{""x"":629,""y"":655},{""x"":582,""y"":655},{""x"":514,""y"":619},{""x"":427,""y"":491},{""x"":333,""y"":471}]}],""classification"":""rust_level_2""}",jorgeklz@gmail.com,Coffe Leaves,1557815677000,1557839325000,2.485,C1P3E2.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8dd6fz1s0828a8zwknn1,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4ZGQ2ZnoxczA4MjhhOHp3a25uMSIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.X31r8kHXvv5XHYEXHZ0JWnW09p_tflqtDymjjghG4rE""}"
cjvnf8fd4fzh40a08uelp2iof,cjvnehagg0jib0ctn9mcs9ed3,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2Fc0bb708b-c350-6fef-63d3-9bca56e1147b-C1P3H1.jpg,"{""Leaf"":[{""state"":""healthy"",""geometry"":[{""x"":245,""y"":542},{""x"":310,""y"":558},{""x"":359,""y"":455},{""x"":456,""y"":429},{""x"":547,""y"":375},{""x"":649,""y"":345},{""x"":723,""y"":310},{""x"":834,""y"":295},{""x"":904,""y"":305},{""x"":961,""y"":288},{""x"":1043,""y"":312},{""x"":1118,""y"":308},{""x"":1210,""y"":326},{""x"":1306,""y"":362},{""x"":1369,""y"":413},{""x"":1424,""y"":472},{""x"":1490,""y"":502},{""x"":1607,""y"":519},{""x"":1557,""y"":556},{""x"":1489,""y"":591},{""x"":1403,""y"":681},{""x"":1320,""y"":725},{""x"":1259,""y"":774},{""x"":1133,""y"":777},{""x"":1048,""y"":809},{""x"":970,""y"":796},{""x"":839,""y"":821},{""x"":759,""y"":807},{""x"":629,""y"":795},{""x"":541,""y"":770},{""x"":440,""y"":735},{""x"":376,""y"":706},{""x"":333,""y"":650},{""x"":310,""y"":577},{""x"":249,""y"":566}]}],""classification"":""healthy""}",jorgeklz@gmail.com,Coffe Leaves,1557815680000,1557839382000,2.17,C1P3H1.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8fd4fzh40a08uelp2iof,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4ZmQ0ZnpoNDBhMDh1ZWxwMmlvZiIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.AEDEmbg1MDJoRYrP3-HZA3_Nshg-uIMMdC24nGPO7HY""}"
cjvnf8h50fvp30984cykakd0w,cjvnehagg0jif0ctngiqggwka,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2Ffa8b5fe5-a1ba-6b14-737d-483390054e7e-C1P3H2.jpg,"{""Leaf"":[{""state"":""unhealthy"",""geometry"":[{""x"":265,""y"":652},{""x"":357,""y"":613},{""x"":496,""y"":467},{""x"":616,""y"":422},{""x"":757,""y"":338},{""x"":1059,""y"":288},{""x"":1276,""y"":302},{""x"":1320,""y"":328},{""x"":1335,""y"":331},{""x"":1353,""y"":314},{""x"":1510,""y"":383},{""x"":1576,""y"":425},{""x"":1562,""y"":477},{""x"":1576,""y"":504},{""x"":1560,""y"":537},{""x"":1600,""y"":532},{""x"":1652,""y"":491},{""x"":1705,""y"":532},{""x"":1724,""y"":554},{""x"":1642,""y"":603},{""x"":1489,""y"":694},{""x"":1362,""y"":751},{""x"":1074,""y"":812},{""x"":945,""y"":822},{""x"":780,""y"":796},{""x"":547,""y"":711},{""x"":380,""y"":647},{""x"":284,""y"":673}]}],""classification"":""rust_level_3""}",jorgeklz@gmail.com,Coffe Leaves,1557815682000,1557839435000,1.979,C1P3H2.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8h50fvp30984cykakd0w,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4aDUwZnZwMzA5ODRjeWtha2QwdyIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.FkMRVtYRvl4r2NYSRP0l9wTTVtk5mC9DUrA17kbHHBs""}"
cjvnf8jhhfvs009845qny5m6e,cjvnehagh0jij0ctn5qvl2xtj,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F30425e1e-ce09-94e0-68e6-e53f593b65c2-C1P4E2.jpg,"{""Leaf"":[{""state"":""unhealthy"",""geometry"":[{""x"":409,""y"":575},{""x"":306,""y"":579},{""x"":306,""y"":603},{""x"":427,""y"":603},{""x"":481,""y"":667},{""x"":676,""y"":774},{""x"":825,""y"":817},{""x"":970,""y"":821},{""x"":1048,""y"":829},{""x"":1106,""y"":809},{""x"":1165,""y"":835},{""x"":1330,""y"":814},{""x"":1466,""y"":765},{""x"":1691,""y"":655},{""x"":1752,""y"":667},{""x"":1701,""y"":631},{""x"":1577,""y"":532},{""x"":1529,""y"":482},{""x"":1419,""y"":430},{""x"":1334,""y"":393},{""x"":1217,""y"":373},{""x"":1043,""y"":368},{""x"":940,""y"":369},{""x"":766,""y"":390},{""x"":686,""y"":406},{""x"":555,""y"":457}]}],""classification"":""rust_level_2""}",jorgeklz@gmail.com,Coffe Leaves,1557815685000,1557839520000,2.599,C1P4E2.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8jhhfvs009845qny5m6e,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4amhoZnZzMDA5ODQ1cW55NW02ZSIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.bRnTJEvOhezvbEdIRo9OKrqiuQBQ5rOtCJHWdX7ytwQ""}"
cjvnf8le1fygn07952ve0pjn5,cjvnehagh0jin0ctn8fwv7ei1,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F20d3312f-8d3d-11b0-fbf0-c5389a3a8db8-C1P4H1.jpg,"{""Leaf"":[{""state"":""healthy"",""geometry"":[{""x"":112,""y"":590},{""x"":194,""y"":567},{""x"":295,""y"":487},{""x"":532,""y"":391},{""x"":776,""y"":368},{""x"":957,""y"":381},{""x"":1040,""y"":370},{""x"":1162,""y"":411},{""x"":1277,""y"":450},{""x"":1343,""y"":482},{""x"":1433,""y"":586},{""x"":1479,""y"":629},{""x"":1560,""y"":643},{""x"":1452,""y"":645},{""x"":1392,""y"":673},{""x"":1362,""y"":733},{""x"":1314,""y"":765},{""x"":1235,""y"":790},{""x"":1153,""y"":799},{""x"":1107,""y"":815},{""x"":1019,""y"":785},{""x"":960,""y"":806},{""x"":902,""y"":806},{""x"":836,""y"":769},{""x"":764,""y"":776},{""x"":707,""y"":765},{""x"":670,""y"":737},{""x"":555,""y"":746},{""x"":431,""y"":694},{""x"":374,""y"":678},{""x"":316,""y"":659},{""x"":286,""y"":645},{""x"":233,""y"":629},{""x"":167,""y"":602},{""x"":114,""y"":604}]}],""classification"":""healthy""}",jorgeklz@gmail.com,Coffe Leaves,1557815687000,1557839054000,2.128,C1P4H1.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8le1fygn07952ve0pjn5,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4bGUxZnlnbjA3OTUydmUwcGpuNSIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30.X-ORGTtq2peotsDRqSCcI7fMEpupiKTTRrjNVhhSqCg""}"
cjvnf8qf9g0dp0838eejmhyo9,cjvnehagh0jir0ctn2zzk22uc,https://storage.googleapis.com/labelbox-193903.appspot.com/cjs5g735orqbe0b29ip8a1k1s%2F1f2d94d4-eba1-1bda-05ad-7eb1e5e6f816-C1P4H2.jpg,"{""Leaf"":[{""state"":""unhealthy"",""geometry"":[{""x"":388,""y"":535},{""x"":439,""y"":544},{""x"":465,""y"":488},{""x"":507,""y"":421},{""x"":583,""y"":369},{""x"":658,""y"":345},{""x"":770,""y"":293},{""x"":871,""y"":267},{""x"":919,""y"":267},{""x"":1022,""y"":246},{""x"":1076,""y"":246},{""x"":1093,""y"":281},{""x"":1126,""y"":282},{""x"":1175,""y"":239},{""x"":1280,""y"":251},{""x"":1355,""y"":270},{""x"":1454,""y"":298},{""x"":1515,""y"":335},{""x"":1570,""y"":383},{""x"":1651,""y"":457},{""x"":1703,""y"":429},{""x"":1673,""y"":477},{""x"":1630,""y"":514},{""x"":1591,""y"":568},{""x"":1562,""y"":624},{""x"":1475,""y"":704},{""x"":1308,""y"":777},{""x"":1194,""y"":802},{""x"":1088,""y"":804},{""x"":931,""y"":803},{""x"":876,""y"":796},{""x"":689,""y"":767},{""x"":552,""y"":685},{""x"":447,""y"":570},{""x"":399,""y"":563}]}],""classification"":""rust_level_2""}",jorgeklz@gmail.com,Coffe Leaves,1557815694000,1557839583000,6.093,C1P4H2.jpg,,,,,RoCoLe,[],https://image-segmentation-v4.labelbox.com?project=cjvnf0980ftry0a08ioornpjy&label=cjvnf8qf9g0dp0838eejmhyo9,"{""Leaf"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p2bmY4cWY5ZzBkcDA4MzhlZWptaHlvOSIsImNsYXNzTmFtZSI6IkxlYWYiLCJpYXQiOjE1NTgwNTg5NzcsImV4cCI6MTcxNTczODk3N30._QlNUXCy6rhmjJ4nIxcdU89KXIlrwT7F6npMhoU2dcQ""}"
